21/04/2020 10:49:07 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 10:49:46 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 10:56:22 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 10:57:40 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 10:58:31 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 11:00:26 - Alex Bloom with id 90000009 was created at this date and time
21/04/2020 15:37:56 - {'user_id': '20000002', 'first': 'Amit', 'last': 'Saig', 'password': 'secondTwo1995', 'position': 'Vice-President', 'salary': '150000', 'role': 'employee'} {'user_id': '30000003', 'first': 'Hillel', 'last': 'Feldman', 'password': 'thirdThree1993', 'position': 'VP of R&D', 'salary': '150000', 'role': 'employee'} with id {'user_id': '10000001', 'first': 'David', 'last': 'Bador', 'password': 'firstOne1992', 'position': 'President', 'salary': '200000', 'role': 'admin'} was created at this date and time
21/04/2020 15:39:29 - {'user_id': '20000002', 'first': 'Amit', 'last': 'Saig', 'password': 'secondTwo1995', 'position': 'Vice-President', 'salary': '150000', 'role': 'employee'} {'user_id': '30000003', 'first': 'Hillel', 'last': 'Feldman', 'password': 'thirdThree1993', 'position': 'VP of R&D', 'salary': '150000', 'role': 'employee'} with id {'user_id': '10000001', 'first': 'David', 'last': 'Bador', 'password': 'firstOne1992', 'position': 'President', 'salary': '200000', 'role': 'admin'} was created at this date and time
21/04/2020 15:40:45 - 0 0 with id 6 was created at this date and time
21/04/2020 15:43:32 - Daryl Mizrachi with id 60000006 was created at this date and time
